Region,Code,DevelopmentLevel,YesNo
Burkina Faso,854,Lower-middle-income Countries,N
Cabo Verde,132,Lower-middle-income Countries,Y
Côte d'Ivoire,384,Lower-middle-income Countries,Y
Gambia,270,Lower-middle-income Countries,N
Ghana,288,Lower-middle-income Countries,Y
Guinea,324,Lower-middle-income Countries,N
Guinea-Bissau,624,Lower-middle-income Countries,N
Liberia,430,Lower-middle-income Countries,N
Mali,466,Lower-middle-income Countries,N
Mauritania,478,Lower-middle-income Countries,Y
Niger,562,Lower-middle-income Countries,N
Nigeria,566,Lower-middle-income Countries,Y
Saint Helena,654,Lower-middle-income Countries,N
Senegal,686,Lower-middle-income Countries,N
Sierra Leone,694,Lower-middle-income Countries,N
Togo,768,Lower-middle-income Countries,N
Algeria,12,Lower-middle-income Countries,N
Egypt,818,Lower-middle-income Countries,Y
Libya,434,Lower-middle-income Countries,N
Morocco,504,Lower-middle-income Countries,Y
Sudan,729,Lower-middle-income Countries,Y
Tunisia,788,Lower-middle-income Countries,Y
Western Sahara,732,Lower-middle-income Countries,N
Armenia,51,Lower-middle-income Countries,N
Azerbaijan,31,Lower-middle-income Countries,N
Bahrain,48,Lower-middle-income Countries,N
Cyprus,196,Lower-middle-income Countries,N
Georgia,268,Lower-middle-income Countries,Y
Iraq,368,Lower-middle-income Countries,N
Israel,376,Lower-middle-income Countries,N
Jordan,400,Lower-middle-income Countries,N
Kuwait,414,Lower-middle-income Countries,N
Lebanon,422,Lower-middle-income Countries,N
Oman,512,Lower-middle-income Countries,N
Qatar,634,Lower-middle-income Countries,N
Saudi Arabia,682,Lower-middle-income Countries,N
State of Palestine,275,Lower-middle-income Countries,Y
Syrian Arab Republic,760,Lower-middle-income Countries,N
Turkey,792,Lower-middle-income Countries,N
United Arab Emirates,784,Lower-middle-income Countries,N
Yemen,887,Lower-middle-income Countries,N
Kazakhstan,398,Lower-middle-income Countries,N
Kyrgyzstan,417,Lower-middle-income Countries,Y
Tajikistan,762,Lower-middle-income Countries,N
Turkmenistan,795,Lower-middle-income Countries,N
Uzbekistan,860,Lower-middle-income Countries,Y
Afghanistan,4,Lower-middle-income Countries,N
Bangladesh,50,Lower-middle-income Countries,Y
Bhutan,64,Lower-middle-income Countries,Y
India,356,Lower-middle-income Countries,Y
Iran (Islamic Republic of),364,Lower-middle-income Countries,N
Maldives,462,Lower-middle-income Countries,N
Nepal,524,Lower-middle-income Countries,N
Pakistan,586,Lower-middle-income Countries,Y
Sri Lanka,144,Lower-middle-income Countries,Y
China,156,Lower-middle-income Countries,N
"China, Hong Kong SAR",344,Lower-middle-income Countries,N
"China, Macao SAR",446,Lower-middle-income Countries,N
Dem. People's Republic of Korea,408,Lower-middle-income Countries,N
Japan,392,Lower-middle-income Countries,N
Mongolia,496,Lower-middle-income Countries,Y
Republic of Korea,410,Lower-middle-income Countries,N
Brunei Darussalam,96,Lower-middle-income Countries,N
Cambodia,116,Lower-middle-income Countries,Y
Indonesia,360,Lower-middle-income Countries,Y
Lao People's Democratic Republic,418,Lower-middle-income Countries,Y
Malaysia,458,Lower-middle-income Countries,N
Myanmar,104,Lower-middle-income Countries,Y
Philippines,608,Lower-middle-income Countries,Y
Singapore,702,Lower-middle-income Countries,N
Thailand,764,Lower-middle-income Countries,N
Timor-Leste,626,Lower-middle-income Countries,Y
Viet Nam,704,Lower-middle-income Countries,Y
Anguilla,660,Lower-middle-income Countries,N
Antigua and Barbuda,28,Lower-middle-income Countries,N
Aruba,533,Lower-middle-income Countries,N
Bahamas,44,Lower-middle-income Countries,N
Barbados,52,Lower-middle-income Countries,N
British Virgin Islands,92,Lower-middle-income Countries,N
"Bonaire, Sint Eustatius and Saba",535,Lower-middle-income Countries,N
Cayman Islands,136,Lower-middle-income Countries,N
Cuba,192,Lower-middle-income Countries,N
Curaçao,531,Lower-middle-income Countries,N
Dominica,212,Lower-middle-income Countries,N
Dominican Republic,214,Lower-middle-income Countries,N
Grenada,308,Lower-middle-income Countries,N
Guadeloupe,312,Lower-middle-income Countries,N
Haiti,332,Lower-middle-income Countries,N
Jamaica,388,Lower-middle-income Countries,N
Martinique,474,Lower-middle-income Countries,N
Montserrat,500,Lower-middle-income Countries,N
Puerto Rico,630,Lower-middle-income Countries,N
Saint Kitts and Nevis,659,Lower-middle-income Countries,N
Saint Lucia,662,Lower-middle-income Countries,N
Saint Vincent and the Grenadines,670,Lower-middle-income Countries,N
Sint Maarten (Dutch part),534,Lower-middle-income Countries,N
Trinidad and Tobago,780,Lower-middle-income Countries,N
Turks and Caicos Islands,796,Lower-middle-income Countries,N
United States Virgin Islands,850,Lower-middle-income Countries,N
Belize,84,Lower-middle-income Countries,N
Costa Rica,188,Lower-middle-income Countries,N
El Salvador,222,Lower-middle-income Countries,Y
Guatemala,320,Lower-middle-income Countries,N
Honduras,340,Lower-middle-income Countries,Y
Mexico,484,Lower-middle-income Countries,N
Nicaragua,558,Lower-middle-income Countries,Y
Panama,591,Lower-middle-income Countries,N
Argentina,32,Lower-middle-income Countries,N
Bolivia (Plurinational State of),68,Lower-middle-income Countries,Y
Brazil,76,Lower-middle-income Countries,N
Chile,152,Lower-middle-income Countries,N
Colombia,170,Lower-middle-income Countries,N
Ecuador,218,Lower-middle-income Countries,N
Falkland Islands (Malvinas),238,Lower-middle-income Countries,N
French Guiana,254,Lower-middle-income Countries,N
Guyana,328,Lower-middle-income Countries,N
Paraguay,600,Lower-middle-income Countries,N
Peru,604,Lower-middle-income Countries,N
Suriname,740,Lower-middle-income Countries,N
Uruguay,858,Lower-middle-income Countries,N
Venezuela (Bolivarian Republic of),862,Lower-middle-income Countries,N
Australia,36,Lower-middle-income Countries,N
New Zealand,554,Lower-middle-income Countries,N
Fiji,242,Lower-middle-income Countries,N
New Caledonia,540,Lower-middle-income Countries,N
Papua New Guinea,598,Lower-middle-income Countries,Y
Solomon Islands,90,Lower-middle-income Countries,Y
Vanuatu,548,Lower-middle-income Countries,Y
Guam,316,Lower-middle-income Countries,N
Kiribati,296,Lower-middle-income Countries,Y
Marshall Islands,584,Lower-middle-income Countries,N
Micronesia (Fed. States of),583,Lower-middle-income Countries,Y
Nauru,520,Lower-middle-income Countries,N
Northern Mariana Islands,580,Lower-middle-income Countries,N
Palau,585,Lower-middle-income Countries,N
American Samoa,16,Lower-middle-income Countries,N
Cook Islands,184,Lower-middle-income Countries,N
French Polynesia,258,Lower-middle-income Countries,N
Niue,570,Lower-middle-income Countries,N
Samoa,882,Lower-middle-income Countries,N
Tokelau,772,Lower-middle-income Countries,N
Tonga,776,Lower-middle-income Countries,N
Tuvalu,798,Lower-middle-income Countries,N
Wallis and Futuna Islands,876,Lower-middle-income Countries,N
Belarus,112,Lower-middle-income Countries,N
Bulgaria,100,Lower-middle-income Countries,N
Czechia,203,Lower-middle-income Countries,N
Hungary,348,Lower-middle-income Countries,N
Poland,616,Lower-middle-income Countries,N
Republic of Moldova,498,Lower-middle-income Countries,Y
Romania,642,Lower-middle-income Countries,N
Russian Federation,643,Lower-middle-income Countries,N
Slovakia,703,Lower-middle-income Countries,N
Ukraine,804,Lower-middle-income Countries,Y
Channel Islands,830,Lower-middle-income Countries,N
Denmark,208,Lower-middle-income Countries,N
Estonia,233,Lower-middle-income Countries,N
Faroe Islands,234,Lower-middle-income Countries,N
Finland,246,Lower-middle-income Countries,N
Iceland,352,Lower-middle-income Countries,N
Ireland,372,Lower-middle-income Countries,N
Isle of Man,833,Lower-middle-income Countries,N
Latvia,428,Lower-middle-income Countries,N
Lithuania,440,Lower-middle-income Countries,N
Norway,578,Lower-middle-income Countries,N
Sweden,752,Lower-middle-income Countries,N
United Kingdom,826,Lower-middle-income Countries,N
Albania,8,Lower-middle-income Countries,N
Andorra,20,Lower-middle-income Countries,N
Bosnia and Herzegovina,70,Lower-middle-income Countries,N
Croatia,191,Lower-middle-income Countries,N
Gibraltar,292,Lower-middle-income Countries,N
Greece,300,Lower-middle-income Countries,N
Holy See,336,Lower-middle-income Countries,N
Italy,380,Lower-middle-income Countries,N
Malta,470,Lower-middle-income Countries,N
Montenegro,499,Lower-middle-income Countries,N
North Macedonia,807,Lower-middle-income Countries,N
Portugal,620,Lower-middle-income Countries,N
San Marino,674,Lower-middle-income Countries,N
Serbia,688,Lower-middle-income Countries,N
Slovenia,705,Lower-middle-income Countries,N
Spain,724,Lower-middle-income Countries,N
Austria,40,Lower-middle-income Countries,N
Belgium,56,Lower-middle-income Countries,N
France,250,Lower-middle-income Countries,N
Germany,276,Lower-middle-income Countries,N
Liechtenstein,438,Lower-middle-income Countries,N
Luxembourg,442,Lower-middle-income Countries,N
Monaco,492,Lower-middle-income Countries,N
Netherlands,528,Lower-middle-income Countries,N
Switzerland,756,Lower-middle-income Countries,N
Bermuda,60,Lower-middle-income Countries,N
Canada,124,Lower-middle-income Countries,N
Greenland,304,Lower-middle-income Countries,N
Saint Pierre and Miquelon,666,Lower-middle-income Countries,N
United States of America,840,Lower-middle-income Countries,N
Burundi,108,Low-income Countries,Y
Comoros,174,Low-income Countries,Y
Djibouti,262,Low-income Countries,N
Eritrea,232,Low-income Countries,Y
Ethiopia,231,Low-income Countries,Y
Kenya,404,Low-income Countries,N
Madagascar,450,Low-income Countries,Y
Malawi,454,Low-income Countries,Y
Mauritius,480,Low-income Countries,N
Mayotte,175,Low-income Countries,N
Mozambique,508,Low-income Countries,Y
Réunion,638,Low-income Countries,N
Rwanda,646,Low-income Countries,Y
Seychelles,690,Low-income Countries,N
Somalia,706,Low-income Countries,Y
South Sudan,728,Low-income Countries,Y
Uganda,800,Low-income Countries,Y
United Republic of Tanzania,834,Low-income Countries,Y
Zambia,894,Low-income Countries,N
Zimbabwe,716,Low-income Countries,Y
Angola,24,Low-income Countries,N
Cameroon,120,Low-income Countries,N
Central African Republic,140,Low-income Countries,Y
Chad,148,Low-income Countries,Y
Congo,178,Low-income Countries,N
Democratic Republic of the Congo,180,Low-income Countries,Y
Equatorial Guinea,226,Low-income Countries,N
Gabon,266,Low-income Countries,N
Sao Tome and Principe,678,Low-income Countries,N
Botswana,72,Low-income Countries,N
Eswatini,748,Low-income Countries,N
Lesotho,426,Low-income Countries,N
Namibia,516,Low-income Countries,N
South Africa,710,Low-income Countries,N
Benin,204,Low-income Countries,Y
Burkina Faso,854,Low-income Countries,Y
Cabo Verde,132,Low-income Countries,N
Côte d'Ivoire,384,Low-income Countries,N
Gambia,270,Low-income Countries,Y
Ghana,288,Low-income Countries,N
Guinea,324,Low-income Countries,Y
Guinea-Bissau,624,Low-income Countries,Y
Liberia,430,Low-income Countries,Y
Mali,466,Low-income Countries,Y
Mauritania,478,Low-income Countries,N
Niger,562,Low-income Countries,Y
Nigeria,566,Low-income Countries,N
Saint Helena,654,Low-income Countries,N
Senegal,686,Low-income Countries,Y
Sierra Leone,694,Low-income Countries,Y
Togo,768,Low-income Countries,Y
Algeria,12,Low-income Countries,N
Egypt,818,Low-income Countries,N
Libya,434,Low-income Countries,N
Morocco,504,Low-income Countries,N
Sudan,729,Low-income Countries,N
Tunisia,788,Low-income Countries,N
Western Sahara,732,Low-income Countries,N
Armenia,51,Low-income Countries,N
Azerbaijan,31,Low-income Countries,N
Bahrain,48,Low-income Countries,N
Cyprus,196,Low-income Countries,N
Georgia,268,Low-income Countries,N
Iraq,368,Low-income Countries,N
Israel,376,Low-income Countries,N
Jordan,400,Low-income Countries,N
Kuwait,414,Low-income Countries,N
Lebanon,422,Low-income Countries,N
Oman,512,Low-income Countries,N
Qatar,634,Low-income Countries,N
Saudi Arabia,682,Low-income Countries,N
State of Palestine,275,Low-income Countries,N
Syrian Arab Republic,760,Low-income Countries,Y
Turkey,792,Low-income Countries,N
United Arab Emirates,784,Low-income Countries,N
Yemen,887,Low-income Countries,Y
Kazakhstan,398,Low-income Countries,N
Kyrgyzstan,417,Low-income Countries,N
Tajikistan,762,Low-income Countries,Y
Turkmenistan,795,Low-income Countries,N
Uzbekistan,860,Low-income Countries,N
Afghanistan,4,Low-income Countries,Y
Bangladesh,50,Low-income Countries,N
Bhutan,64,Low-income Countries,N
India,356,Low-income Countries,N
Iran (Islamic Republic of),364,Low-income Countries,N
Maldives,462,Low-income Countries,N
Nepal,524,Low-income Countries,Y
Pakistan,586,Low-income Countries,N
Sri Lanka,144,Low-income Countries,N
China,156,Low-income Countries,N
"China, Hong Kong SAR",344,Low-income Countries,N
"China, Macao SAR",446,Low-income Countries,N
Dem. People's Republic of Korea,408,Low-income Countries,Y
Japan,392,Low-income Countries,N
Mongolia,496,Low-income Countries,N
Republic of Korea,410,Low-income Countries,N
Brunei Darussalam,96,Low-income Countries,N
Cambodia,116,Low-income Countries,N
Indonesia,360,Low-income Countries,N
Lao People's Democratic Republic,418,Low-income Countries,N
Malaysia,458,Low-income Countries,N
Myanmar,104,Low-income Countries,N
Philippines,608,Low-income Countries,N
Singapore,702,Low-income Countries,N
Thailand,764,Low-income Countries,N
Timor-Leste,626,Low-income Countries,N
Viet Nam,704,Low-income Countries,N
Anguilla,660,Low-income Countries,N
Antigua and Barbuda,28,Low-income Countries,N
Aruba,533,Low-income Countries,N
Bahamas,44,Low-income Countries,N
Barbados,52,Low-income Countries,N
British Virgin Islands,92,Low-income Countries,N
"Bonaire, Sint Eustatius and Saba",535,Low-income Countries,N
Cayman Islands,136,Low-income Countries,N
Cuba,192,Low-income Countries,N
Curaçao,531,Low-income Countries,N
Dominica,212,Low-income Countries,N
Dominican Republic,214,Low-income Countries,N
Grenada,308,Low-income Countries,N
Guadeloupe,312,Low-income Countries,N
Haiti,332,Low-income Countries,Y
Jamaica,388,Low-income Countries,N
Martinique,474,Low-income Countries,N
Montserrat,500,Low-income Countries,N
Puerto Rico,630,Low-income Countries,N
Saint Kitts and Nevis,659,Low-income Countries,N
Saint Lucia,662,Low-income Countries,N
Saint Vincent and the Grenadines,670,Low-income Countries,N
Sint Maarten (Dutch part),534,Low-income Countries,N
Trinidad and Tobago,780,Low-income Countries,N
Turks and Caicos Islands,796,Low-income Countries,N
United States Virgin Islands,850,Low-income Countries,N
Belize,84,Low-income Countries,N
Costa Rica,188,Low-income Countries,N
El Salvador,222,Low-income Countries,N
Guatemala,320,Low-income Countries,N
Honduras,340,Low-income Countries,N
Mexico,484,Low-income Countries,N
Nicaragua,558,Low-income Countries,N
Panama,591,Low-income Countries,N
Argentina,32,Low-income Countries,N
Bolivia (Plurinational State of),68,Low-income Countries,N
Brazil,76,Low-income Countries,N
Chile,152,Low-income Countries,N
Colombia,170,Low-income Countries,N
Ecuador,218,Low-income Countries,N
Falkland Islands (Malvinas),238,Low-income Countries,N
French Guiana,254,Low-income Countries,N
Guyana,328,Low-income Countries,N
Paraguay,600,Low-income Countries,N
Peru,604,Low-income Countries,N
Suriname,740,Low-income Countries,N
Uruguay,858,Low-income Countries,N
Venezuela (Bolivarian Republic of),862,Low-income Countries,N
Australia,36,Low-income Countries,N
New Zealand,554,Low-income Countries,N
Fiji,242,Low-income Countries,N
New Caledonia,540,Low-income Countries,N
Papua New Guinea,598,Low-income Countries,N
Solomon Islands,90,Low-income Countries,N
Vanuatu,548,Low-income Countries,N
Guam,316,Low-income Countries,N
Kiribati,296,Low-income Countries,N
Marshall Islands,584,Low-income Countries,N
Micronesia (Fed. States of),583,Low-income Countries,N
Nauru,520,Low-income Countries,N
Northern Mariana Islands,580,Low-income Countries,N
Palau,585,Low-income Countries,N
American Samoa,16,Low-income Countries,N
Cook Islands,184,Low-income Countries,N
French Polynesia,258,Low-income Countries,N
Niue,570,Low-income Countries,N
Samoa,882,Low-income Countries,N
Tokelau,772,Low-income Countries,N
Tonga,776,Low-income Countries,N
Tuvalu,798,Low-income Countries,N
Wallis and Futuna Islands,876,Low-income Countries,N
Belarus,112,Low-income Countries,N
Bulgaria,100,Low-income Countries,N
Czechia,203,Low-income Countries,N
Hungary,348,Low-income Countries,N
Poland,616,Low-income Countries,N
Republic of Moldova,498,Low-income Countries,N
Romania,642,Low-income Countries,N
Russian Federation,643,Low-income Countries,N
Slovakia,703,Low-income Countries,N
Ukraine,804,Low-income Countries,N
Channel Islands,830,Low-income Countries,N
Denmark,208,Low-income Countries,N
Estonia,233,Low-income Countries,N
Faroe Islands,234,Low-income Countries,N
Finland,246,Low-income Countries,N
Iceland,352,Low-income Countries,N
Ireland,372,Low-income Countries,N
Isle of Man,833,Low-income Countries,N
Latvia,428,Low-income Countries,N
Lithuania,440,Low-income Countries,N
Norway,578,Low-income Countries,N
Sweden,752,Low-income Countries,N
United Kingdom,826,Low-income Countries,N
Albania,8,Low-income Countries,N
Andorra,20,Low-income Countries,N
Bosnia and Herzegovina,70,Low-income Countries,N
Croatia,191,Low-income Countries,N
Gibraltar,292,Low-income Countries,N
Greece,300,Low-income Countries,N
Holy See,336,Low-income Countries,N
Italy,380,Low-income Countries,N
Malta,470,Low-income Countries,N
Montenegro,499,Low-income Countries,N
North Macedonia,807,Low-income Countries,N
Portugal,620,Low-income Countries,N
San Marino,674,Low-income Countries,N
Serbia,688,Low-income Countries,N
Slovenia,705,Low-income Countries,N
Spain,724,Low-income Countries,N
Austria,40,Low-income Countries,N
Belgium,56,Low-income Countries,N
France,250,Low-income Countries,N
Germany,276,Low-income Countries,N
Liechtenstein,438,Low-income Countries,N
Luxembourg,442,Low-income Countries,N
Monaco,492,Low-income Countries,N
Netherlands,528,Low-income Countries,N
Switzerland,756,Low-income Countries,N
Bermuda,60,Low-income Countries,N
Canada,124,Low-income Countries,N
Greenland,304,Low-income Countries,N
Saint Pierre and Miquelon,666,Low-income Countries,N
United States of America,840,Low-income Countries,N
Burundi,108,No income group available,N
Comoros,174,No income group available,N
Djibouti,262,No income group available,N
Eritrea,232,No income group available,N
Ethiopia,231,No income group available,N
Kenya,404,No income group available,N
Madagascar,450,No income group available,N
Malawi,454,No income group available,N
Mauritius,480,No income group available,N
Mayotte,175,No income group available,Y
Mozambique,508,No income group available,N
Réunion,638,No income group available,Y
Rwanda,646,No income group available,N
Seychelles,690,No income group available,N
Somalia,706,No income group available,N
South Sudan,728,No income group available,N
Uganda,800,No income group available,N
United Republic of Tanzania,834,No income group available,N
Zambia,894,No income group available,N
Zimbabwe,716,No income group available,N
Angola,24,No income group available,N
Cameroon,120,No income group available,N
Central African Republic,140,No income group available,N
Chad,148,No income group available,N
Congo,178,No income group available,N
Democratic Republic of the Congo,180,No income group available,N
Equatorial Guinea,226,No income group available,N
Gabon,266,No income group available,N
Sao Tome and Principe,678,No income group available,N
Botswana,72,No income group available,N
Eswatini,748,No income group available,N
Lesotho,426,No income group available,N
Namibia,516,No income group available,N
South Africa,710,No income group available,N
Benin,204,No income group available,N
Burkina Faso,854,No income group available,N
Cabo Verde,132,No income group available,N
Côte d'Ivoire,384,No income group available,N
Gambia,270,No income group available,N
Ghana,288,No income group available,N
Guinea,324,No income group available,N
Guinea-Bissau,624,No income group available,N
Liberia,430,No income group available,N
Mali,466,No income group available,N
Mauritania,478,No income group available,N
Niger,562,No income group available,N
Nigeria,566,No income group available,N
Saint Helena,654,No income group available,Y
Senegal,686,No income group available,N
Sierra Leone,694,No income group available,N
Togo,768,No income group available,N
Algeria,12,No income group available,N
Egypt,818,No income group available,N
Libya,434,No income group available,N
Morocco,504,No income group available,N
Sudan,729,No income group available,N
Tunisia,788,No income group available,N
Western Sahara,732,No income group available,Y
Armenia,51,No income group available,N
Azerbaijan,31,No income group available,N
Bahrain,48,No income group available,N
Cyprus,196,No income group available,N
Georgia,268,No income group available,N
Iraq,368,No income group available,N
Israel,376,No income group available,N
Jordan,400,No income group available,N
Kuwait,414,No income group available,N
Lebanon,422,No income group available,N
Oman,512,No income group available,N
Qatar,634,No income group available,N
Saudi Arabia,682,No income group available,N
State of Palestine,275,No income group available,N
Syrian Arab Republic,760,No income group available,N
Turkey,792,No income group available,N
United Arab Emirates,784,No income group available,N
Yemen,887,No income group available,N
Kazakhstan,398,No income group available,N
Kyrgyzstan,417,No income group available,N
Tajikistan,762,No income group available,N
Turkmenistan,795,No income group available,N
Uzbekistan,860,No income group available,N
Afghanistan,4,No income group available,N
Bangladesh,50,No income group available,N
Bhutan,64,No income group available,N
India,356,No income group available,N
Iran (Islamic Republic of),364,No income group available,N
Maldives,462,No income group available,N
Nepal,524,No income group available,N
Pakistan,586,No income group available,N
Sri Lanka,144,No income group available,N
China,156,No income group available,N
"China, Hong Kong SAR",344,No income group available,N
"China, Macao SAR",446,No income group available,N
Dem. People's Republic of Korea,408,No income group available,N
Japan,392,No income group available,N
Mongolia,496,No income group available,N
Republic of Korea,410,No income group available,N
Brunei Darussalam,96,No income group available,N
Cambodia,116,No income group available,N
Indonesia,360,No income group available,N
Lao People's Democratic Republic,418,No income group available,N
Malaysia,458,No income group available,N
Myanmar,104,No income group available,N
Philippines,608,No income group available,N
Singapore,702,No income group available,N
Thailand,764,No income group available,N
Timor-Leste,626,No income group available,N
Viet Nam,704,No income group available,N
Anguilla,660,No income group available,Y
Antigua and Barbuda,28,No income group available,N
Aruba,533,No income group available,N
Bahamas,44,No income group available,N
Barbados,52,No income group available,N
British Virgin Islands,92,No income group available,N
"Bonaire, Sint Eustatius and Saba",535,No income group available,Y
Cayman Islands,136,No income group available,N
Cuba,192,No income group available,N
Curaçao,531,No income group available,N
Dominica,212,No income group available,N
Dominican Republic,214,No income group available,N
Grenada,308,No income group available,N
Guadeloupe,312,No income group available,Y
Haiti,332,No income group available,N
Jamaica,388,No income group available,N
Martinique,474,No income group available,Y
Montserrat,500,No income group available,Y
Puerto Rico,630,No income group available,N
Saint Kitts and Nevis,659,No income group available,N
Saint Lucia,662,No income group available,N
Saint Vincent and the Grenadines,670,No income group available,N
Sint Maarten (Dutch part),534,No income group available,N
Trinidad and Tobago,780,No income group available,N
Turks and Caicos Islands,796,No income group available,N
United States Virgin Islands,850,No income group available,N
Belize,84,No income group available,N
Costa Rica,188,No income group available,N
El Salvador,222,No income group available,N
Guatemala,320,No income group available,N
Honduras,340,No income group available,N
Mexico,484,No income group available,N
Nicaragua,558,No income group available,N
Panama,591,No income group available,N
Argentina,32,No income group available,N
Bolivia (Plurinational State of),68,No income group available,N
Brazil,76,No income group available,N
Chile,152,No income group available,N
Colombia,170,No income group available,N
Ecuador,218,No income group available,N
Falkland Islands (Malvinas),238,No income group available,Y
French Guiana,254,No income group available,Y
Guyana,328,No income group available,N
Paraguay,600,No income group available,N
Peru,604,No income group available,N
Suriname,740,No income group available,N
Uruguay,858,No income group available,N
Venezuela (Bolivarian Republic of),862,No income group available,N
Australia,36,No income group available,N
New Zealand,554,No income group available,N
Fiji,242,No income group available,N
New Caledonia,540,No income group available,N
Papua New Guinea,598,No income group available,N
Solomon Islands,90,No income group available,N
Vanuatu,548,No income group available,N
Guam,316,No income group available,N
Kiribati,296,No income group available,N
Marshall Islands,584,No income group available,N
Micronesia (Fed. States of),583,No income group available,N
Nauru,520,No income group available,N
Northern Mariana Islands,580,No income group available,N
Palau,585,No income group available,N
American Samoa,16,No income group available,N
Cook Islands,184,No income group available,Y
French Polynesia,258,No income group available,N
Niue,570,No income group available,Y
Samoa,882,No income group available,N
Tokelau,772,No income group available,Y
Tonga,776,No income group available,N
Tuvalu,798,No income group available,N
Wallis and Futuna Islands,876,No income group available,Y
Belarus,112,No income group available,N
Bulgaria,100,No income group available,N
Czechia,203,No income group available,N
Hungary,348,No income group available,N
Poland,616,No income group available,N
Republic of Moldova,498,No income group available,N
Romania,642,No income group available,N
Russian Federation,643,No income group available,N
Slovakia,703,No income group available,N
Ukraine,804,No income group available,N
Channel Islands,830,No income group available,N
Denmark,208,No income group available,N
Estonia,233,No income group available,N
Faroe Islands,234,No income group available,N
Finland,246,No income group available,N
Iceland,352,No income group available,N
Ireland,372,No income group available,N
Isle of Man,833,No income group available,N
Latvia,428,No income group available,N
Lithuania,440,No income group available,N
Norway,578,No income group available,N
Sweden,752,No income group available,N
United Kingdom,826,No income group available,N
Albania,8,No income group available,N
Andorra,20,No income group available,N
Bosnia and Herzegovina,70,No income group available,N
Croatia,191,No income group available,N
Gibraltar,292,No income group available,N
Greece,300,No income group available,N
Holy See,336,No income group available,Y
Italy,380,No income group available,N
Malta,470,No income group available,N
Montenegro,499,No income group available,N
North Macedonia,807,No income group available,N
Portugal,620,No income group available,N
San Marino,674,No income group available,N
Serbia,688,No income group available,N
Slovenia,705,No income group available,N
Spain,724,No income group available,N
Austria,40,No income group available,N
Belgium,56,No income group available,N
France,250,No income group available,N
Germany,276,No income group available,N
Liechtenstein,438,No income group available,N
Luxembourg,442,No income group available,N
Monaco,492,No income group available,N
Netherlands,528,No income group available,N
Switzerland,756,No income group available,N
Bermuda,60,No income group available,N
Canada,124,No income group available,N
Greenland,304,No income group available,N
Saint Pierre and Miquelon,666,No income group available,Y
United States of America,840,No income group available,N
Burundi,108,Sub-Saharan Africa,Y
Comoros,174,Sub-Saharan Africa,Y
Djibouti,262,Sub-Saharan Africa,Y
Eritrea,232,Sub-Saharan Africa,Y
Ethiopia,231,Sub-Saharan Africa,Y
Kenya,404,Sub-Saharan Africa,Y
Madagascar,450,Sub-Saharan Africa,Y
Malawi,454,Sub-Saharan Africa,Y
Mauritius,480,Sub-Saharan Africa,Y
Mayotte,175,Sub-Saharan Africa,Y
Mozambique,508,Sub-Saharan Africa,Y
Réunion,638,Sub-Saharan Africa,Y
Rwanda,646,Sub-Saharan Africa,Y
Seychelles,690,Sub-Saharan Africa,Y
Somalia,706,Sub-Saharan Africa,Y
South Sudan,728,Sub-Saharan Africa,Y
Uganda,800,Sub-Saharan Africa,Y
United Republic of Tanzania,834,Sub-Saharan Africa,Y
Zambia,894,Sub-Saharan Africa,Y
Zimbabwe,716,Sub-Saharan Africa,Y
Angola,24,Sub-Saharan Africa,Y
Cameroon,120,Sub-Saharan Africa,Y
Central African Republic,140,Sub-Saharan Africa,Y
Chad,148,Sub-Saharan Africa,Y
Congo,178,Sub-Saharan Africa,Y
Democratic Republic of the Congo,180,Sub-Saharan Africa,Y
Equatorial Guinea,226,Sub-Saharan Africa,Y
Gabon,266,Sub-Saharan Africa,Y
Sao Tome and Principe,678,Sub-Saharan Africa,Y
Botswana,72,Sub-Saharan Africa,Y
Eswatini,748,Sub-Saharan Africa,Y
Lesotho,426,Sub-Saharan Africa,Y
Namibia,516,Sub-Saharan Africa,Y
South Africa,710,Sub-Saharan Africa,Y
Benin,204,Sub-Saharan Africa,Y
Burkina Faso,854,Sub-Saharan Africa,Y
Cabo Verde,132,Sub-Saharan Africa,Y
Côte d'Ivoire,384,Sub-Saharan Africa,Y
Gambia,270,Sub-Saharan Africa,Y
Ghana,288,Sub-Saharan Africa,Y
Guinea,324,Sub-Saharan Africa,Y
Guinea-Bissau,624,Sub-Saharan Africa,Y
Liberia,430,Sub-Saharan Africa,Y
Mali,466,Sub-Saharan Africa,Y
Mauritania,478,Sub-Saharan Africa,Y
Niger,562,Sub-Saharan Africa,Y
Nigeria,566,Sub-Saharan Africa,Y
Saint Helena,654,Sub-Saharan Africa,Y
Senegal,686,Sub-Saharan Africa,Y
Sierra Leone,694,Sub-Saharan Africa,Y
Togo,768,Sub-Saharan Africa,Y
Algeria,12,Sub-Saharan Africa,N
Egypt,818,Sub-Saharan Africa,N
Libya,434,Sub-Saharan Africa,N
Morocco,504,Sub-Saharan Africa,N
Sudan,729,Sub-Saharan Africa,N
Tunisia,788,Sub-Saharan Africa,N
Western Sahara,732,Sub-Saharan Africa,N
Armenia,51,Sub-Saharan Africa,N
Azerbaijan,31,Sub-Saharan Africa,N
Bahrain,48,Sub-Saharan Africa,N
Cyprus,196,Sub-Saharan Africa,N
Georgia,268,Sub-Saharan Africa,N
Iraq,368,Sub-Saharan Africa,N
Israel,376,Sub-Saharan Africa,N
Jordan,400,Sub-Saharan Africa,N
